Datum,Klicks,Impressionen,CTR,Position
2025-12-21,43,1601,2.69%,9
2025-12-22,34,1518,2.24%,9.4
2025-12-23,41,1406,2.92%,9.5
2025-12-24,23,1163,1.98%,10.1
2025-12-25,50,1700,2.94%,9.3
2025-12-26,41,1591,2.58%,9.6
2025-12-27,47,1474,3.19%,8.9
2025-12-28,58,1727,3.36%,8.6
2025-12-29,43,1449,2.97%,8.9
2025-12-30,26,1309,1.99%,8.9
2025-12-31,16,1146,1.4%,9.2
2026-01-01,42,1467,2.86%,8.9
2026-01-02,37,1530,2.42%,9.2
2026-01-03,40,1524,2.62%,9.8
2026-01-04,52,1881,2.76%,12.7
2026-01-05,39,1645,2.37%,12.8
2026-01-06,61,1446,4.22%,8.3
2026-01-07,45,1453,3.1%,9.3
2026-01-08,51,1624,3.14%,11.2
2026-01-09,59,1972,2.99%,11.1
2026-01-10,56,1749,3.2%,8.8
2026-01-11,62,1678,3.69%,7.9
2026-01-12,97,1620,5.99%,8.8
2026-01-13,71,1436,4.94%,9.6
2026-01-14,90,1708,5.27%,10.6
2026-01-15,64,1444,4.43%,9.3
2026-01-16,75,1654,4.53%,10.4
2026-01-17,57,1666,3.42%,10.7
2026-01-18,61,1605,3.8%,8.3
2026-01-19,86,1529,5.62%,8.5
2026-01-20,82,1519,5.4%,8.9
2026-01-21,68,1625,4.18%,9.6
2026-01-22,64,1498,4.27%,9
2026-01-23,69,1637,4.22%,9.2
2026-01-24,48,1791,2.68%,9.1
2026-01-25,70,1843,3.8%,9.4
2026-01-26,99,1564,6.33%,10.3
2026-01-27,93,1495,6.22%,9.7
2026-01-28,73,1542,4.73%,8.4
2026-01-29,86,1612,5.33%,8.4
2026-01-30,62,1501,4.13%,8.9
2026-01-31,50,1570,3.18%,8.1
2026-02-01,82,1677,4.89%,8.5
2026-02-02,80,1679,4.76%,9.5
2026-02-03,90,1624,5.54%,7.1
2026-02-04,70,1529,4.58%,7.6
2026-02-05,76,1536,4.95%,8.4
2026-02-06,82,1683,4.87%,10
2026-02-07,59,1679,3.51%,8.4
2026-02-08,79,1788,4.42%,7.9
2026-02-09,102,1678,6.08%,8.5
2026-02-10,74,1694,4.37%,10
2026-02-11,90,1679,5.36%,10.2
2026-02-12,93,1659,5.61%,8.6
2026-02-13,47,1850,2.54%,13.3
2026-02-14,46,1394,3.3%,7.6
2026-02-15,47,1355,3.47%,7.8
2026-02-16,46,1260,3.65%,9
2026-02-17,48,1414,3.39%,8.2
2026-02-18,51,1256,4.06%,7.9
2026-02-19,49,1271,3.86%,8.5
2026-02-20,45,1231,3.66%,8.5
2026-02-21,37,1299,2.85%,8.4
2026-02-22,60,1519,3.95%,8.2
2026-02-23,64,1709,3.74%,10.7
2026-02-24,61,1660,3.67%,11.2
2026-02-25,64,1556,4.11%,9.1
2026-02-26,67,1561,4.29%,8.6
2026-02-27,67,1409,4.76%,8.4
2026-02-28,54,1342,4.02%,7.7
2026-03-01,54,1482,3.64%,8.7
2026-03-02,67,1336,5.01%,8.9
2026-03-03,64,1571,4.07%,9.7
2026-03-04,61,1566,3.9%,9.3
2026-03-05,51,1484,3.44%,9.3
2026-03-06,39,1554,2.51%,10.6
2026-03-07,46,1506,3.05%,9.7
2026-03-08,44,1418,3.1%,8
2026-03-09,54,1344,4.02%,9.8
2026-03-10,50,1440,3.47%,8.9
2026-03-11,57,1499,3.8%,8.6
2026-03-12,61,1337,4.56%,8.4
2026-03-13,60,1450,4.14%,10.1
2026-03-14,46,1409,3.26%,8.7
2026-03-15,58,1684,3.44%,7.8
2026-03-16,66,1677,3.94%,9.1
2026-03-17,40,1586,2.52%,9
2026-03-18,60,1374,4.37%,8.6
2026-03-19,44,1316,3.34%,9.3
2026-03-20,38,1359,2.8%,8.6
