Land,Klicks,Impressionen,CTR,Position
Deutschland,4795,117819,4.07%,8.4
Österreich,246,7886,3.12%,8.24
Schweiz,145,4449,3.26%,9.24
USA,39,1761,2.21%,14.58
Luxemburg,10,168,5.95%,6.38
Russland,10,152,6.58%,13.68
Niederlande,8,163,4.91%,13.6
Vereinigtes Königreich,5,361,1.39%,20.83
Türkei,5,144,3.47%,29.42
Norwegen,4,59,6.78%,23.19
Japan,4,53,7.55%,22.06
Italien,3,341,0.88%,13.77
Frankreich,3,146,2.05%,13.86
Polen,3,68,4.41%,14.84
Ungarn,3,44,6.82%,10.39
Iran,3,24,12.5%,17.58
Indien,2,588,0.34%,37.79
Brasilien,2,191,1.05%,20.86
Ägypten,2,95,2.11%,30.34
Dänemark,2,63,3.17%,10.51
Schweden,2,63,3.17%,14.78
Saudi-Arabien,2,62,3.23%,29.68
Vereinigte Arabische Emirate,2,38,5.26%,13.84
Marokko,2,29,6.9%,24.62
Spanien,1,239,0.42%,12.38
Vietnam,1,206,0.49%,29.85
Kanada,1,169,0.59%,28.02
Belgien,1,100,1%,8.43
Kolumbien,1,94,1.06%,38.13
Algerien,1,79,1.27%,36.9
Mexiko,1,55,1.82%,18.53
Malaysia,1,51,1.96%,22
Portugal,1,44,2.27%,10.32
Rumänien,1,42,2.38%,11.98
Ukraine,1,40,2.5%,18
Slowakei,1,32,3.12%,8.25
Südafrika,1,32,3.12%,16.72
Bulgarien,1,30,3.33%,10.47
Chile,1,19,5.26%,29.47
Kroatien,1,18,5.56%,9
Lettland,1,16,6.25%,20.5
Bolivien,1,16,6.25%,32.88
Taiwan,1,9,11.11%,11.11
Philippinen,0,335,0%,34.06
Indonesien,0,290,0%,37.08
Südkorea,0,182,0%,36.38
Argentinien,0,98,0%,40.16
Australien,0,93,0%,25.69
Bangladesch,0,85,0%,41.31
Belarus,0,72,0%,11.81
Thailand,0,71,0%,29.03
Pakistan,0,62,0%,28.19
Israel,0,58,0%,20.4
Ecuador,0,51,0%,38.88
Tschechien,0,49,0%,14
Neuseeland,0,40,0%,18.85
Peru,0,34,0%,18.35
Dominikanische Republik,0,34,0%,26.56
Irak,0,34,0%,36.79
Griechenland,0,33,0%,12.61
Irland,0,31,0%,14.61
Serbien,0,30,0%,8.2
Äthiopien,0,26,0%,48.69
Nigeria,0,25,0%,27.28
Liechtenstein,0,24,0%,13.46
Hongkong,0,21,0%,8.05
Panama,0,21,0%,13.9
Venezuela,0,21,0%,28.14
Singapur,0,20,0%,9.2
Guatemala,0,16,0%,33.19
Oman,0,15,0%,25.13
China,0,14,0%,7.29
Finnland,0,14,0%,14.79
Litauen,0,14,0%,17.79
Bosnien und Herzegowina,0,13,0%,6.62
Costa Rica,0,13,0%,26.92
Kasachstan,0,12,0%,27.42
Albanien,0,11,0%,14.09
Kuwait,0,11,0%,29.73
Kosovo,0,10,0%,8.6
El Salvador,0,10,0%,17.4
Honduras,0,10,0%,36.7
Armenien,0,10,0%,49.6
Nepal,0,9,0%,12.67
Usbekistan,0,9,0%,17.44
Trinidad und Tobago,0,9,0%,20.56
Kambodscha,0,9,0%,55.33
Jordanien,0,8,0%,7.75
Slowenien,0,8,0%,8.38
Georgien,0,8,0%,23.75
Sri Lanka,0,7,0%,6.86
Republik Moldau,0,7,0%,7
Syrien,0,7,0%,17.57
Kongo-Kinshasa,0,7,0%,23.14
Tunesien,0,6,0%,9.5
Zypern,0,6,0%,14.33
Aserbaidschan,0,6,0%,20.17
Côte d’Ivoire,0,6,0%,31.33
Bhutan,0,6,0%,38.17
Paraguay,0,5,0%,4.6
Uruguay,0,5,0%,15
Bahrain,0,5,0%,24
Senegal,0,4,0%,5.25
Ghana,0,4,0%,7
Estland,0,4,0%,8.75
Angola,0,4,0%,18.75
Kamerun,0,4,0%,21.5
Kenia,0,4,0%,24.5
Kirgisistan,0,4,0%,45.25
Malediven,0,3,0%,2.67
Mazedonien,0,3,0%,7.33
Simbabwe,0,3,0%,9
Uganda,0,3,0%,12
Namibia,0,3,0%,17.33
Puerto Rico,0,3,0%,19.33
Katar,0,3,0%,33.33
Palästina,0,3,0%,53
Burkina Faso,0,2,0%,2
Tansania,0,2,0%,5.5
Libanon,0,2,0%,6
Ruanda,0,2,0%,7
Mongolei,0,2,0%,8
Myanmar,0,2,0%,9
Jemen,0,2,0%,12
Mauritius,0,2,0%,17
Gabun,0,2,0%,37
Island,0,2,0%,44
Belize,0,2,0%,53.5
Benin,0,2,0%,70.5
Antigua und Barbuda,0,1,0%,1
Unbekannte Region,0,1,0%,4
Mauretanien,0,1,0%,5
Guinea-Bissau,0,1,0%,6
Seychellen,0,1,0%,9
Tadschikistan,0,1,0%,9
Malta,0,1,0%,10
Südsudan,0,1,0%,10
Laos,0,1,0%,11
Madagaskar,0,1,0%,11
Sudan,0,1,0%,11
Kongo-Brazzaville,0,1,0%,13
Guinea,0,1,0%,13
Libyen,0,1,0%,17
Gambia,0,1,0%,87
