Die häufigsten Seiten,Klicks,Impressionen,CTR,Position
https://kidslab.de/,780,8187,9.53%,10.63
https://kidslab.de/ideen/bastelanleitung-heisser-draht,777,21079,3.69%,6.52
https://kidslab.de/minecraft,700,8457,8.28%,6.11
https://handbuch.kidslab.de/minecraft/coole-commands,406,26113,1.55%,9.06
https://kidslab.de/gameslab/,364,1453,25.05%,5.05
https://kidslab.de/gameslab,296,1552,19.07%,4.2
https://kidslab.de/blog/tinkercad,226,7461,3.03%,14.41
https://gameslab.kidslab.de/,151,642,23.52%,4.51
https://kidslab.de/blog/einsatz-von-tinkercad-und-3d-druck-im-unterricht,150,1694,8.85%,9.03
https://handbuch.kidslab.de/minecraft/allgemeines/minecraft-und-microsoft-konten,138,15004,0.92%,9.19
https://kidslab.de/ideen/mcreator,134,4392,3.05%,8.7
https://kidslab.de/minecraft/onlinekurs-programmieren-lernen-in-minecraft,119,2727,4.36%,8.37
https://kidslab.de/kurse,115,1653,6.96%,6.85
https://handbuch.kidslab.de/scratch/lehrerkonto-bei-scratch,103,1329,7.75%,5.32
https://kidslab.de/ideen/der-toast-brot-versuch,80,972,8.23%,4.66
https://kidslab.de/minecraft/minecraft-und-mods,74,6161,1.2%,5.16
https://editor.gameslab.kidslab.de/,69,1812,3.81%,13.69
https://kidslab.de/ideen/das-flaschen-u-boot,67,1651,4.06%,5.7
https://kidslab.de/media/pages/ideen/tinkercad-namensschild/77662702d0-1753474310/lernkarte-tinkercad.pdf,59,1051,5.61%,8.14
https://kidslab.de/ueber-kidslab,41,938,4.37%,2.06
https://kidslab.de/blog/die-6-besten-programmiertools-fuer-kinder-jugendliche,33,894,3.69%,17.26
https://kidslab.de/projekte/gamespreis,33,123,26.83%,2.72
https://kidslab.de/blog/kahoot-quiz-mit-chatgpt-erstellen,31,4839,0.64%,9.99
https://handbuch.kidslab.de/minecraft/allgemeines/installation,31,1169,2.65%,12.73
https://handbuch.kidslab.de/tinkercad/lego-mindstorms-ev3/erste-schritte-mit-mindstorms-ev3-education,28,1263,2.22%,21.56
https://handbuch.kidslab.de/elektro/stunde-1-statische-elektrizitat,26,1076,2.42%,16.55
https://kidslab.de/kurse/offener-nachmittag,21,802,2.62%,2.73
https://kidslab.de/schulen,17,933,1.82%,9.08
https://handbuch.kidslab.de/minecraft/turtlecity,17,780,2.18%,10.07
https://handbuch.kidslab.de/minecraft-mods-programmieren/erste-mod-ein-eigener-block,17,323,5.26%,13.68
https://kidslab.de/ideen/tinkercad-namensschild,16,563,2.84%,8.57
https://kidslab.de/kurse/lego-robotik-werkstatt-3-tage,14,415,3.37%,9.52
https://handbuch.kidslab.de/mcreator-alapaka-ball-minecraft-mod/uebersicht,13,1659,0.78%,9.03
https://kidslab.de/kurse/blodsinn-mit-lotzinn-loten-fur-anfanger,13,280,4.64%,8.32
https://kidslab.de/projekte/gamespreis-2025,12,156,7.69%,5.49
https://kidslab.de/ideen/scratch,11,1210,0.91%,8.17
