Datum,Nicht indexiert,Indexiert,Impressionen
2025-12-22,,,1518
2025-12-23,865,283,1406
2025-12-24,859,285,1163
2025-12-25,859,285,1700
2025-12-26,859,285,1591
2025-12-27,859,285,1474
2025-12-28,859,285,1727
2025-12-29,859,285,1449
2025-12-30,859,285,1309
2025-12-31,859,285,1146
2026-01-01,859,285,1467
2026-01-02,859,285,1530
2026-01-03,859,285,1524
2026-01-04,853,287,1881
2026-01-05,853,287,1645
2026-01-06,853,287,1446
2026-01-07,855,284,1453
2026-01-08,855,284,1624
2026-01-09,855,284,1972
2026-01-10,855,284,1749
2026-01-11,853,284,1678
2026-01-12,853,284,1620
2026-01-13,853,284,1436
2026-01-14,834,284,1708
2026-01-15,834,284,1444
2026-01-16,834,284,1654
2026-01-17,834,284,1666
2026-01-18,827,286,1605
2026-01-19,827,286,1529
2026-01-20,827,286,1519
2026-01-21,807,286,1625
2026-01-22,807,286,1498
2026-01-23,807,286,1637
2026-01-24,807,286,1791
2026-01-25,765,284,1843
2026-01-26,765,284,1564
2026-01-27,765,284,1495
2026-01-28,721,288,1542
2026-01-29,721,288,1612
2026-01-30,721,288,1501
2026-01-31,721,288,1570
2026-02-01,690,292,1677
2026-02-02,690,292,1679
2026-02-03,690,292,1624
2026-02-04,673,299,1529
2026-02-05,673,299,1536
2026-02-06,673,299,1683
2026-02-07,673,299,1679
2026-02-08,646,300,1788
2026-02-09,646,300,1678
2026-02-10,646,300,1694
2026-02-11,593,311,1679
2026-02-12,593,311,1659
2026-02-13,593,311,1850
2026-02-14,593,311,1394
2026-02-15,522,312,1355
2026-02-16,522,312,1260
2026-02-17,522,312,1414
2026-02-18,492,312,1256
2026-02-19,492,312,1271
2026-02-20,492,312,1231
2026-02-21,492,312,1299
2026-02-22,482,318,1519
2026-02-23,482,318,1709
2026-02-24,482,318,1660
2026-02-25,469,323,1556
2026-02-26,469,323,1561
2026-02-27,469,323,1409
2026-02-28,469,323,1342
2026-03-01,469,323,1482
2026-03-02,469,323,1336
2026-03-03,469,323,1571
2026-03-04,468,320,1566
2026-03-05,468,320,1484
2026-03-06,468,320,1554
2026-03-07,468,320,1506
2026-03-08,456,317,1418
2026-03-09,456,317,1344
2026-03-10,456,317,1440
2026-03-11,435,317,1499
2026-03-12,435,317,1337
2026-03-13,435,317,1450
2026-03-14,435,317,1409
2026-03-15,435,317,1684
2026-03-16,432,315,1677
2026-03-17,432,315,1586
