Status,Alte URL,Neue URL (Hugo),Klicks,Impressionen,HTTP Code
OK,https://kidslab.de/,/,780,8187,200
OK,https://kidslab.de/ideen/bastelanleitung-heisser-draht,/ideen/bastelanleitung-heisser-draht/,777,21079,200
OK,https://kidslab.de/minecraft,/minecraft/,700,8457,200
OK,https://kidslab.de/gameslab/,/gameslab/,364,1453,200
OK,https://kidslab.de/gameslab,/gameslab/,296,1552,200
OK,https://kidslab.de/blog/tinkercad,/blog/tinkercad/,226,7461,200
OK,https://kidslab.de/blog/einsatz-von-tinkercad-und-3d-druck-im-unterricht,/blog/einsatz-von-tinkercad-und-3d-druck-im-unterricht/,150,1694,200
OK,https://kidslab.de/ideen/mcreator,/ideen/mcreator/,134,4392,200
OK,https://kidslab.de/minecraft/onlinekurs-programmieren-lernen-in-minecraft,/minecraft/onlinekurs-programmieren-lernen-in-minecraft/,119,2727,200
OK,https://kidslab.de/kurse,/kurse/,115,1653,200
OK,https://kidslab.de/ideen/der-toast-brot-versuch,/ideen/der-toast-brot-versuch/,80,972,200
OK,https://kidslab.de/minecraft/minecraft-und-mods,/minecraft/minecraft-und-mods/,74,6161,200
OK,https://kidslab.de/ideen/das-flaschen-u-boot,/ideen/das-flaschen-u-boot/,67,1651,200
FEHLT,https://kidslab.de/media/pages/ideen/tinkercad-namensschild/77662702d0-1753474310/lernkarte-tinkercad.pdf,,59,1051,404
OK,https://kidslab.de/ueber-kidslab,/ueber-kidslab/,41,938,200
OK,https://kidslab.de/blog/die-6-besten-programmiertools-fuer-kinder-jugendliche,/blog/die-6-besten-programmiertools-fuer-kinder-jugendliche/,33,894,200
OK,https://kidslab.de/projekte/gamespreis,/projekte/gamespreis/,33,123,200
OK,https://kidslab.de/blog/kahoot-quiz-mit-chatgpt-erstellen,/blog/kahoot-quiz-mit-chatgpt-erstellen/,31,4839,200
OK,https://kidslab.de/kurse/offener-nachmittag,/kurse/offener-nachmittag/,21,802,200
OK,https://kidslab.de/schulen,/schulen/,17,933,200
REDIRECT,https://kidslab.de/ideen/tinkercad-namensschild,/selber-machen/tinkercad-3d-design/,16,563,301
OK,https://kidslab.de/kurse/lego-robotik-werkstatt-3-tage,/kurse/lego-robotik-werkstatt-3-tage/,14,415,200
OK,https://kidslab.de/kurse/blodsinn-mit-lotzinn-loten-fur-anfanger,/kurse/blodsinn-mit-lotzinn-loten-fur-anfanger/,13,280,200
OK,https://kidslab.de/projekte/gamespreis-2025,/projekte/gamespreis-2025/,12,156,200
OK,https://kidslab.de/ideen/scratch,/ideen/scratch/,11,1210,200
OK,https://kidslab.de/kurse/blender-bootcamp-einfache-3d-figuren-selbst-gestalten,/kurse/blender-bootcamp-einfache-3d-figuren-selbst-gestalten/,9,65,200
OK,https://kidslab.de/projekte/gameslab/mentoring,/projekte/gameslab/mentoring/,8,151,200
OK,https://kidslab.de/projekte/GamesPreis,/projekte/GamesPreis/,8,45,200
OK,https://kidslab.de/projekte/demokratie,/projekte/demokratie/,7,200,200
OK,https://kidslab.de/ueber-kidslab/kursgebuhren-und-ermassigungen,/ueber-kidslab/kursgebuhren-und-ermassigungen/,6,354,200
OK,https://kidslab.de/blog/gameslab-traunstein,/blog/gameslab-traunstein/,6,242,200
OK,https://kidslab.de/blog/gamespreis-platz-1-katz-und-maus,/blog/gamespreis-platz-1-katz-und-maus/,6,189,200
OK,https://kidslab.de/ideen/baue-augsburg,/ideen/baue-augsburg/,5,454,200
OK,https://kidslab.de/ideen/ballon-auto,/ideen/ballon-auto/,5,264,200
OK,https://kidslab.de/blog/gamespreis-beste-simulation-die-lustige-boerse,/blog/gamespreis-beste-simulation-die-lustige-boerse/,5,199,200
REDIRECT,https://kidslab.de/ideen/tinkercad-wurfel-challenge,/selber-machen/tinkercad-3d-design/,5,143,301
OK,https://kidslab.de/kontakt,/kontakt/,4,511,200
OK,https://kidslab.de/projekte/gamespreis-2024,/projekte/gamespreis-2024/,4,227,200
OK,https://kidslab.de/ideen/shitty-robots,/ideen/shitty-robots/,4,197,200
OK,https://kidslab.de/ideen,/ideen/,4,161,200
FEHLT,https://kidslab.de/media/pages/ideen/minecraft-turtles-level1/1757b897ca-1753474310/programmieren-in-minecraft-level-1.pdf,,4,100,404
REDIRECT,https://kidslab.de/projekte,/,4,48,301
FEHLT,https://kidslab.de/media/pages/ideen/mcreator/792852702e-1753474310/oer-mcreator-mod-alpaka-ball.pdf,,4,25,404
OK,https://kidslab.de/kurse/online-programmieren-in-minecraft,/kurse/online-programmieren-in-minecraft/,3,110,200
OK,https://kidslab.de/blog/gameslab-2024-rueckblick,/blog/gameslab-2024-rueckblick/,3,36,200
OK,https://kidslab.de/blog/zwischenbericht-gameslab,/blog/zwischenbericht-gameslab/,2,372,200
OK,https://kidslab.de/impressum,/impressum/,2,315,200
OK,https://kidslab.de/ueber-kidslab/partner,/ueber-kidslab/partner/,2,311,200
OK,https://kidslab.de/blog/der-toast-brot-versuch,/blog/der-toast-brot-versuch/,2,73,200
OK,https://kidslab.de/blog/das-flaschen-u-boot,/blog/das-flaschen-u-boot/,2,67,200
OK,https://kidslab.de/blog/schneemann-ausstecher-tinkercad,/blog/schneemann-ausstecher-tinkercad/,2,17,200
OK,https://kidslab.de/blog/luftdruck,/blog/luftdruck/,2,5,200
OK,https://kidslab.de/blog/demokratie-vor-ort-zukunftswerkstatt-in-minecraft-in-augsburg,/blog/demokratie-vor-ort-zukunftswerkstatt-in-minecraft-in-augsburg/,1,148,200
OK,https://kidslab.de/projekte/gameslab/gameslab-handbuch,/projekte/gameslab/gameslab-handbuch/,1,147,200
REDIRECT,https://kidslab.de/ideen/minecraft-build-battle,/minecraft/selber-machen/,1,114,301
OK,https://kidslab.de/kurse/gameslab-programmiere-dein-eigenes-computer-spiel,/kurse/gameslab-programmiere-dein-eigenes-computer-spiel/,1,76,200
FEHLT,https://kidslab.de/media/pages/ideen/baue-augsburg/7c78fb69d9-1753474310/minetest-spickzettel-schuler.pdf,,1,58,404
OK,https://kidslab.de/ideen/lustiger-zahnburstenhalter,/ideen/lustiger-zahnburstenhalter/,1,57,200
OK,https://kidslab.de/blog/zukunftswerkstatt-demokratie-in-der-minecraft-welt-zukunft-gemeinsam-bauen,/blog/zukunftswerkstatt-demokratie-in-der-minecraft-welt-zukunft-gemeinsam-bauen/,1,57,200
FEHLT,https://kidslab.de/media/pages/ideen/minecraft-turtles-level2/2907f79e9e-1753474310/programmieren-in-minecraft-level-2.pdf,,1,54,404
FEHLT,https://kidslab.de/media/pages/ideen/minecraft-turtles-level1/d828bab815-1753474310/level1-einfuhrung.pdf,,1,49,404
FEHLT,https://kidslab.de/media/pages/blog/zwischenbericht-gameslab/28783aec6d-1753474310/zwischenbericht-gameslab-2025-juni-2025.pdf,,1,41,404
FEHLT,https://kidslab.de/media/pages/ideen/minecraft-turtles-level2/fcb9d92d5b-1753474310/level2-labyrinth.pdf,,1,40,404
OK,https://kidslab.de/projekte/gameslab-lehrer,/projekte/gameslab-lehrer/,1,31,200
OK,https://kidslab.de/blog/apps-apps-apps,/blog/apps-apps-apps/,1,29,200
FEHLT,https://kidslab.de/media/site/79946f7cc7-1760359813/angebote-schulen.pdf,,1,26,404
OK,https://kidslab.de/kurse/schachfiguren-designer-3d,/kurse/schachfiguren-designer-3d/,1,24,200
REDIRECT,https://kidslab.de/ideen/tinkercad-wurfel-challenge?print=1,/selber-machen/tinkercad-3d-design/,1,24,301
FEHLT,https://kidslab.de/media/pages/ideen/shitty-robots/5be132c665-1761906787/2.hebocon_official_rule_book_en.pdf,,1,17,404
OK,https://kidslab.de/blog/minecraft-und-minetest-im-unterricht,/blog/minecraft-und-minetest-im-unterricht/,1,9,200
OK,https://kidslab.de/blog/kostenloses-programmier-dein-eigener-ostereier-spiel,/blog/kostenloses-programmier-dein-eigener-ostereier-spiel/,1,8,200
OK,https://kidslab.de/blog/scratch,/blog/scratch/,1,5,200
OK,https://kidslab.de/kurse/baue-deinen-eigenen-game-controller,/kurse/baue-deinen-eigenen-game-controller/,1,2,200
OK,https://kidslab.de/ideen/pocketplatformer,/ideen/pocketplatformer/,1,1,200
OK,https://kidslab.de/kurse/linux-einfuhrung,/kurse/linux-einfuhrung/,1,1,200
REDIRECT,https://kidslab.de/projekte/jugendhackt,/,0,223,301
REDIRECT,https://kidslab.de/ideen/minecraft-turtles-level1,/minecraft/selber-machen/,0,162,301
REDIRECT,https://kidslab.de/projekte/jugendhackt/,/,0,140,301
OK,https://kidslab.de/blog/bastelanleitung-heisser-draht-spiel,/blog/bastelanleitung-heisser-draht-spiel/,0,66,200
OK,https://kidslab.de/blog/jugendhackt-2025,/blog/jugendhackt-2025/,0,65,200
OK,https://kidslab.de/blog/gamespreis-bestes-fussballspiel-elfmeter-survival,/blog/gamespreis-bestes-fussballspiel-elfmeter-survival/,0,32,200
OK,https://kidslab.de/blog,/blog/,0,31,200
OK,https://kidslab.de/blog/kidslab-rc3,/blog/kidslab-rc3/,0,30,200
OK,https://kidslab.de/blog/programmieren-in-minecraft-kostenlose-youtube-videos,/blog/programmieren-in-minecraft-kostenlose-youtube-videos/,0,30,200
OK,https://kidslab.de/blog/mein-lieblings-papierflieger,/blog/mein-lieblings-papierflieger/,0,28,200
